,mean_elevation,max_elevation,min_elevation,median_elevation,count_points
1990-2020,153.8413460263811,554.980749219563,-5.778876170655567,129.44693028095733,101.49509116409537
2021-2040,193.78212504911767,745.3638211382114,-10.329268292682928,159.61246612466124,214.5945652173913
2041-2060,194.86863022244023,758.9284759358288,-11.689839572192513,160.12867647058823,261.28315217391304
2061-2080,252.97280365484008,1014.5485714285714,-18.405142857142856,207.6322857142857,579.0630434782609
2081-2100,290.6372470085203,1205.7931435212085,-21.046484601975596,237.4020918070889,815.5271739130435
