,mean_elevation,max_elevation,min_elevation,median_elevation,count_points
1990-2020,1400.1321185069385,2498.034310221587,619.7580414581844,1373.6631522516084,499.4245889921372
2021-2040,1541.6247489690322,2650.1346260387813,716.6975069252078,1515.0385041551247,483.6659279778393
2041-2060,1562.1870155650167,2689.7366962305987,710.8176274944568,1539.1141906873613,468.7008310249307
2061-2080,1736.1441800347181,2841.7667410714284,888.1434151785714,1711.5518973214287,418.5102493074792
2081-2100,1916.9691241672901,2997.0590883511536,1043.2341024198088,1897.398142937535,366.2743902439024
